172.20.0.1 - - [14/Jul/2026:05:00:38 +0000] "POST /docs/ HTTP/1.1" 200 3106 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:00:39 +0000] "GET /docs/swagger-ui-init.js HTTP/1.1" 200 5368 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Insomnia/13.0.2 Chrome/146.0.7680.80 Electron/41.0.3 Safari/537.36"
172.20.0.1 - - [14/Jul/2026:05:00:39 +0000] "GET /docs/swagger-ui.css HTTP/1.1" 200 178977 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Insomnia/13.0.2 Chrome/146.0.7680.80 Electron/41.0.3 Safari/537.36"
172.20.0.1 - - [14/Jul/2026:05:00:39 +0000] "GET /docs/swagger-ui-standalone-preset.js HTTP/1.1" 200 256694 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Insomnia/13.0.2 Chrome/146.0.7680.80 Electron/41.0.3 Safari/537.36"
172.20.0.1 - - [14/Jul/2026:05:00:39 +0000] "GET /docs/swagger-ui-bundle.js HTTP/1.1" 200 1537593 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Insomnia/13.0.2 Chrome/146.0.7680.80 Electron/41.0.3 Safari/537.36"
172.20.0.1 - - [14/Jul/2026:05:01:52 +0000] "POST /login HTTP/1.1" 500 36 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:08:18 +0000] "POST /login HTTP/1.1" 500 36 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:09:20 +0000] "POST /login HTTP/1.1" 500 36 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:11:35 +0000] "POST /login HTTP/1.1" 500 36 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:11:58 +0000] "POST /login HTTP/1.1" 500 36 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:15:29 +0000] "POST /login HTTP/1.1" 500 36 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:20:04 +0000] "POST /login HTTP/1.1" 401 51 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:23:04 +0000] "POST /login HTTP/1.1" 500 36 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:23:18 +0000] "POST /login HTTP/1.1" 200 225 "-" "insomnia/12.6.0"
172.20.0.1 - - [14/Jul/2026:05:24:11 +0000] "GET /usuarios HTTP/1.1" 200 70 "-" "insomnia/12.6.0"
